"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","impdiff","impenv","impfree","impfun","imprich","impsafe","imptrad","ipadvnt","ipbhprp","ipcrtiv","ipeqopt","ipfrule","ipgdtim","iphlppl","iplylfr","ipmodst","iprspot","ipshabt","ipstrgv","ipsuces","ipudrst"
"ESS1e06_6",1,"6.6","01.12.2018",175,"AT",0.9469,1.1346279,0.2714875,,,,,2,2,2,2,5,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2
"ESS1e06_6",1,"6.6","01.12.2018",176,"AT",0.9469,1.0065956,0.2714875,,,,,3,2,3,4,4,2,3,4,1,2,2,5,3,3,2,2,5,4,1,4,3
"ESS1e06_6",1,"6.6","01.12.2018",180,"AT",0.9469,1.1470361,0.2714875,,,,,2,3,1,3,4,1,5,3,2,2,1,2,1,1,1,3,4,3,2,2,3
"ESS1e06_6",1,"6.6","01.12.2018",184,"AT",0.4497,0.35857427,0.2714875,,,,,3,2,4,5,5,2,2,6,2,2,2,4,3,3,2,2,3,2,2,1,2
"ESS1e06_6",1,"6.6","01.12.2018",185,"AT",0.8994,1.0777107,0.2714875,,,,,3,1,3,4,5,1,2,6,3,3,1,3,4,3,1,3,4,5,2,4,1
"ESS1e06_6",1,"6.6","01.12.2018",186,"AT",0.4497,0.6406525,0.2714875,,,,,6,2,2,6,6,2,2,6,2,4,2,2,3,2,2,2,5,5,2,6,2
"ESS1e06_6",1,"6.6","01.12.2018",188,"AT",0.8994,0.86601126,0.2714875,,,,,4,2,1,4,3,2,6,4,4,2,2,5,3,5,2,5,3,4,3,4,2
"ESS1e06_6",1,"6.6","01.12.2018",190,"AT",0.8994,1.0894965,0.2714875,,,,,1,1,1,3,4,3,2,3,4,1,1,4,1,3,2,2,6,4,2,3,1
"ESS1e06_6",1,"6.6","01.12.2018",191,"AT",1.3491,1.2990168,0.2714875,,,,,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"ESS1e06_6",1,"6.6","01.12.2018",192,"AT",0.4497,0.6132749,0.2714875,,,,,3,2,2,5,6,2,2,6,2,2,2,4,2,4,2,2,5,5,2,5,2
"ESS1e06_6",1,"6.6","01.12.2018",195,"AT",0.4497,0.62004215,0.2714875,,,,,6,2,2,6,5,2,1,6,2,5,2,2,6,1,1,1,5,5,2,6,2
